广东频道,#genre#
player=2
CCTV5,http://45.192.97.170:8880/play/5.m3u8
CCTV5,http://45.192.97.170:8880/play/306.m3u8
CCTV5,http://45.192.97.170:8880/play/367.m3u8
CCTV5,http://45.192.97.170:8880/play/431.m3u8
CCTV5,http://45.192.97.170:8880/play/470.m3u8
CCTV5,http://45.192.97.170:8880/play/495.m3u8
CCTV5,http://45.192.97.170:8880/play/559.m3u8
CCTV5,http://45.192.97.170:8880/play/585.m3u8
CCTV5,http://45.192.97.170:8880/play/674.m3u8
CCTV5,http://45.192.97.170:8880/play/707.m3u8
CCTV5,http://45.192.97.170:8880/play/748.m3u8
CCTV5,http://45.192.97.170:8880/play/798.m3u8
CCTV5,http://45.192.97.170:8880/play/840.m3u8
CCTV5,http://45.192.97.170:8880/play/882.m3u8
CCTV5,http://45.192.97.170:8880/play/929.m3u8
CCTV5,http://45.192.97.170:8880/play/983.m3u8
CCTV5,http://45.192.97.170:8880/play/1055.m3u8
CCTV5,http://45.192.97.170:8880/play/2168.m3u8
CCTV5,http://45.192.97.170:8880/play/2184.m3u8
CCTV5,http://45.192.97.170:8880/play/2365.m3u8
CCTV5,http://45.192.97.170:8880/play/2366.m3u8
CCTV5,http://45.192.97.170:8880/play/2367.m3u8
CCTV5,http://45.192.97.170:8880/play/2563.m3u8
CCTV5,http://45.192.97.170:8880/play/2727.m3u8
CCTV5,http://45.192.97.170:8880/play/2769.m3u8
CCTV5,http://45.192.97.170:8880/play/3006.m3u8
CCTV5,http://45.192.97.170:8880/play/3278.m3u8
CCTV5,http://45.192.97.170:8880/play/3342.m3u8
CCTV5,http://45.192.97.170:8880/play/3415.m3u8
CCTV5,http://45.192.97.170:8880/play/3567.m3u8
CCTV5,http://45.192.97.170:8880/play/3701.m3u8
CCTV5,http://45.192.97.170:8880/play/3702.m3u8
CCTV5,http://45.192.97.170:8880/play/3910.m3u8
CCTV5,http://45.192.97.170:8880/play/4029.m3u8
CCTV5,http://45.192.97.170:8880/play/4154.m3u8
CCTV5,http://45.192.97.170:8880/play/4282.m3u8
CCTV5+,http://47.120.5.28:1234/641886773
CCTV5+,http://223.83.177.142:1234/641886773
CCTV5+,http://45.192.97.170:8880/play/6.m3u8
CCTV5+,http://45.192.97.170:8880/play/307.m3u8
CCTV5+,http://45.192.97.170:8880/play/432.m3u8
CCTV5+,http://45.192.97.170:8880/play/597.m3u8
CCTV5+,http://45.192.97.170:8880/play/675.m3u8
CCTV5+,http://45.192.97.170:8880/play/749.m3u8
CCTV5+,http://45.192.97.170:8880/play/799.m3u8
CCTV5+,http://45.192.97.170:8880/play/841.m3u8
CCTV5+,http://45.192.97.170:8880/play/883.m3u8
CCTV5+,http://45.192.97.170:8880/play/984.m3u8
CCTV5+,http://45.192.97.170:8880/play/1066.m3u8
CCTV5+,http://45.192.97.170:8880/play/2169.m3u8
CCTV5+,http://45.192.97.170:8880/play/2185.m3u8
CCTV5+,http://45.192.97.170:8880/play/2368.m3u8
CCTV5+,http://45.192.97.170:8880/play/2369.m3u8
CCTV5+,http://45.192.97.170:8880/play/2564.m3u8
CCTV5+,http://45.192.97.170:8880/play/2631.m3u8
CCTV5+,http://45.192.97.170:8880/play/2728.m3u8
CCTV5+,http://45.192.97.170:8880/play/2770.m3u8
CCTV5+,http://45.192.97.170:8880/play/3007.m3u8
CCTV5+,http://45.192.97.170:8880/play/3291.m3u8
CCTV5+,http://45.192.97.170:8880/play/3341.m3u8
CCTV5+,http://45.192.97.170:8880/play/3428.m3u8
CCTV5+,http://45.192.97.170:8880/play/3580.m3u8
CCTV5+,http://45.192.97.170:8880/play/3703.m3u8
CCTV5+,http://45.192.97.170:8880/play/3911.m3u8
CCTV5+,http://45.192.97.170:8880/play/4030.m3u8
CCTV5+,http://45.192.97.170:8880/play/4155.m3u8
CCTV5+,http://45.192.97.170:8880/play/4283.m3u8
CCTV6,http://47.120.5.28:1234/624878396
CCTV6,http://223.83.177.142:1234/624878396
CCTV6,http://45.192.97.170:8880/play/7.m3u8
CCTV6,http://45.192.97.170:8880/play/308.m3u8
CCTV6,http://45.192.97.170:8880/play/368.m3u8
CCTV6,http://45.192.97.170:8880/play/433.m3u8
CCTV6,http://45.192.97.170:8880/play/471.m3u8
CCTV6,http://45.192.97.170:8880/play/496.m3u8
CCTV6,http://45.192.97.170:8880/play/560.m3u8
CCTV6,http://45.192.97.170:8880/play/586.m3u8
CCTV6,http://45.192.97.170:8880/play/708.m3u8
CCTV6,http://45.192.97.170:8880/play/750.m3u8
CCTV6,http://45.192.97.170:8880/play/800.m3u8
CCTV6,http://45.192.97.170:8880/play/842.m3u8
CCTV6,http://45.192.97.170:8880/play/884.m3u8
CCTV6,http://45.192.97.170:8880/play/930.m3u8
CCTV6,http://45.192.97.170:8880/play/985.m3u8
CCTV6,http://45.192.97.170:8880/play/986.m3u8
CCTV6,http://45.192.97.170:8880/play/1056.m3u8
